case_id,start_time,end_time,Activity,defectFixed,defectType,numberRepairs,Role,phoneType
1,2017-01-02T13:23:00,2017-01-02T13:23:00,Register,,,,System,
1,2017-01-02T13:23:00,2017-01-02T13:30:00,Analyze Defect,,6,,Tester3,T2
1,2017-01-02T13:31:00,2017-01-02T13:49:00,Repair (Complex),,,,SolverC1,
1,2017-01-02T13:49:00,2017-01-02T13:55:00,Test Repair,TRUE,,0,Tester3,
1,2017-01-02T14:10:00,2017-01-02T14:10:00,Inform User,,,,System,
1,2017-01-02T14:10:00,2017-01-02T14:10:00,Archive Repair,TRUE,,0,System,
10,2017-01-01T12:09:00,2017-01-01T12:09:00,Register,,,,System,
10,2017-01-01T12:09:00,2017-01-01T12:15:00,Analyze Defect,,3,,Tester2,T1
10,2017-01-01T12:35:00,2017-01-01T12:42:00,Repair (Simple),,,,SolverS1,
10,2017-01-01T12:42:00,2017-01-01T12:48:00,Test Repair,FALSE,,1,Tester6,
10,2017-01-01T12:54:00,2017-01-01T12:54:00,Restart Repair,,,,System,
10,2017-01-01T12:54:00,2017-01-01T13:03:00,Repair (Simple),,,,SolverS2,
10,2017-01-01T12:55:00,2017-01-01T12:55:00,Inform User,,,,System,
10,2017-01-01T13:03:00,2017-01-01T13:09:00,Test Repair,TRUE,,2,Tester4,
10,2017-01-01T13:14:00,2017-01-01T13:14:00,Archive Repair,TRUE,,2,System,
100,2017-01-04T03:28:00,2017-01-04T03:28:00,Register,,,,System,
100,2017-01-04T03:28:00,2017-01-04T03:36:00,Analyze Defect,,8,,Tester4,T2
100,2017-01-04T03:52:00,2017-01-04T04:09:00,Repair (Complex),,,,SolverC1,
100,2017-01-04T04:09:00,2017-01-04T04:18:00,Test Repair,TRUE,,0,Tester1,
100,2017-01-04T04:20:00,2017-01-04T04:20:00,Inform User,,,,System,
100,2017-01-04T04:28:00,2017-01-04T04:28:00,Archive Repair,TRUE,,0,System,
1000,2017-01-22T07:23:00,2017-01-22T07:23:00,Register,,,,System,
1000,2017-01-22T07:23:00,2017-01-22T07:28:00,Analyze Defect,,3,,Tester6,T3
1000,2017-01-22T07:35:00,2017-01-22T07:49:00,Repair (Simple),,,,SolverS3,
1000,2017-01-22T07:49:00,2017-01-22T07:58:00,Test Repair,TRUE,,1,Tester6,
1000,2017-01-22T08:03:00,2017-01-22T08:03:00,Inform User,,,,System,
1000,2017-01-22T08:08:00,2017-01-22T08:08:00,Archive Repair,TRUE,,1,System,
1001,2017-01-22T08:51:00,2017-01-22T08:51:00,Register,,,,System,
1001,2017-01-22T08:51:00,2017-01-22T08:56:00,Analyze Defect,,8,,Tester3,T1
1001,2017-01-22T09:06:00,2017-01-22T09:54:00,Repair (Complex),,,,SolverC3,
1001,2017-01-22T09:35:00,2017-01-22T09:35:00,Inform User,,,,System,
1001,2017-01-22T09:54:00,2017-01-22T10:00:00,Test Repair,TRUE,,0,Tester5,
1002,2017-01-22T22:40:00,2017-01-22T22:40:00,Register,,,,System,
1002,2017-01-22T22:40:00,2017-01-22T22:50:00,Analyze Defect,,3,,Tester2,T3
1002,2017-01-22T23:12:00,2017-01-22T23:32:00,Repair (Simple),,,,SolverS3,
1002,2017-01-22T23:26:00,2017-01-22T23:26:00,Inform User,,,,System,
1002,2017-01-22T23:32:00,2017-01-22T23:40:00,Test Repair,TRUE,,1,Tester4,
1003,2017-01-22T07:43:00,2017-01-22T07:43:00,Register,,,,System,
1003,2017-01-22T07:43:00,2017-01-22T07:49:00,Analyze Defect,,1,,Tester5,T3
1003,2017-01-22T08:08:00,2017-01-22T08:14:00,Repair (Simple),,,,SolverS1,
1003,2017-01-22T08:14:00,2017-01-22T08:20:00,Test Repair,FALSE,,1,Tester6,
1003,2017-01-22T08:19:00,2017-01-22T08:19:00,Inform User,,,,System,
1003,2017-01-22T08:27:00,2017-01-22T08:27:00,Restart Repair,,,,System,
1003,2017-01-22T08:27:00,2017-01-22T08:41:00,Repair (Simple),,,,SolverS3,
1003,2017-01-22T08:41:00,2017-01-22T08:51:00,Test Repair,TRUE,,2,Tester6,
1004,2017-01-22T11:27:00,2017-01-22T11:27:00,Register,,,,System,
1004,2017-01-22T11:27:00,2017-01-22T11:34:00,Analyze Defect,,1,,Tester1,T1
1004,2017-01-22T11:40:00,2017-01-22T11:51:00,Repair (Simple),,,,SolverS2,
1004,2017-01-22T11:51:00,2017-01-22T12:00:00,Test Repair,TRUE,,1,Tester5,
1004,2017-01-22T12:10:00,2017-01-22T12:10:00,Inform User,,,,System,
1005,2017-01-22T01:31:00,2017-01-22T01:31:00,Register,,,,System,
1005,2017-01-22T01:31:00,2017-01-22T01:40:00,Analyze Defect,,3,,Tester5,T2
1005,2017-01-22T01:47:00,2017-01-22T02:01:00,Repair (Simple),,,,SolverS3,
1005,2017-01-22T02:01:00,2017-01-22T02:11:00,Test Repair,TRUE,,1,Tester6,
1005,2017-01-22T02:16:00,2017-01-22T02:16:00,Inform User,,,,System,
1006,2017-01-22T14:34:00,2017-01-22T14:34:00,Register,,,,System,
1006,2017-01-22T14:34:00,2017-01-22T14:40:00,Analyze Defect,,7,,Tester3,T3
1006,2017-01-22T14:54:00,2017-01-22T15:34:00,Repair (Complex),,,,SolverC3,
1006,2017-01-22T15:27:00,2017-01-22T15:27:00,Inform User,,,,System,
1006,2017-01-22T15:34:00,2017-01-22T15:44:00,Test Repair,TRUE,,0,Tester5,
1007,2017-01-21T19:27:00,2017-01-21T19:27:00,Register,,,,System,
1007,2017-01-21T19:27:00,2017-01-21T19:33:00,Analyze Defect,,2,,Tester6,T1
1007,2017-01-21T19:51:00,2017-01-21T19:51:00,Inform User,,,,System,
1007,2017-01-21T19:54:00,2017-01-21T20:14:00,Repair (Simple),,,,SolverS3,
1007,2017-01-21T20:14:00,2017-01-21T20:19:00,Test Repair,TRUE,,1,Tester3,
1008,2017-01-22T04:25:00,2017-01-22T04:25:00,Register,,,,System,
1008,2017-01-22T04:25:00,2017-01-22T04:32:00,Analyze Defect,,2,,Tester5,T3
1008,2017-01-22T04:56:00,2017-01-22T05:02:00,Repair (Simple),,,,SolverS1,
1008,2017-01-22T05:00:00,2017-01-22T05:00:00,Inform User,,,,System,
1008,2017-01-22T05:02:00,2017-01-22T05:07:00,Test Repair,FALSE,,1,Tester1,
1008,2017-01-22T05:14:00,2017-01-22T05:14:00,Restart Repair,,,,System,
1008,2017-01-22T05:14:00,2017-01-22T05:21:00,Repair (Simple),,,,SolverS1,
1008,2017-01-22T05:21:00,2017-01-22T05:30:00,Test Repair,FALSE,,2,Tester6,
1008,2017-01-22T05:35:00,2017-01-22T05:35:00,Restart Repair,,,,System,
1008,2017-01-22T05:35:00,2017-01-22T05:42:00,Repair (Simple),,,,SolverS2,
1008,2017-01-22T05:42:00,2017-01-22T05:47:00,Test Repair,TRUE,,3,Tester2,
1009,2017-01-21T20:59:00,2017-01-21T20:59:00,Register,,,,System,
1009,2017-01-21T20:59:00,2017-01-21T21:04:00,Analyze Defect,,7,,Tester1,T2
1009,2017-01-21T21:17:00,2017-01-21T21:29:00,Repair (Complex),,,,SolverC2,
1009,2017-01-21T21:29:00,2017-01-21T21:36:00,Test Repair,TRUE,,0,Tester4,
1009,2017-01-21T21:46:00,2017-01-21T21:46:00,Inform User,,,,System,
101,2017-01-04T04:00:00,2017-01-04T04:00:00,Register,,,,System,
101,2017-01-04T04:00:00,2017-01-04T04:05:00,Analyze Defect,,8,,Tester2,T2
101,2017-01-04T04:31:00,2017-01-04T04:31:00,Inform User,,,,System,
101,2017-01-04T04:33:00,2017-01-04T05:14:00,Repair (Complex),,,,SolverC3,
101,2017-01-04T05:14:00,2017-01-04T05:24:00,Test Repair,TRUE,,0,Tester6,
101,2017-01-04T05:30:00,2017-01-04T05:30:00,Archive Repair,TRUE,,0,System,
1010,2017-01-22T13:08:00,2017-01-22T13:08:00,Register,,,,System,
1010,2017-01-22T13:08:00,2017-01-22T13:13:00,Analyze Defect,,2,,Tester1,T2
1010,2017-01-22T13:30:00,2017-01-22T13:37:00,Repair (Simple),,,,SolverS1,
1010,2017-01-22T13:37:00,2017-01-22T13:47:00,Test Repair,FALSE,,1,Tester6,
1010,2017-01-22T13:53:00,2017-01-22T13:53:00,Restart Repair,,,,System,
1010,2017-01-22T13:53:00,2017-01-22T14:05:00,Repair (Simple),,,,SolverS2,
1010,2017-01-22T13:56:00,2017-01-22T13:56:00,Inform User,,,,System,
1010,2017-01-22T14:05:00,2017-01-22T14:10:00,Test Repair,TRUE,,2,Tester1,
1011,2017-01-21T19:30:00,2017-01-21T19:30:00,Register,,,,System,
1011,2017-01-21T19:30:00,2017-01-21T19:39:00,Analyze Defect,,9,,Tester5,T2
1011,2017-01-21T19:43:00,2017-01-21T20:33:00,Repair (Complex),,,,SolverC3,
1011,2017-01-21T20:23:00,2017-01-21T20:23:00,Inform User,,,,System,
1011,2017-01-21T20:33:00,2017-01-21T20:38:00,Test Repair,TRUE,,0,Tester5,
1012,2017-01-22T01:53:00,2017-01-22T01:53:00,Register,,,,System,
1012,2017-01-22T01:53:00,2017-01-22T01:58:00,Analyze Defect,,8,,Tester6,T2
1012,2017-01-22T02:17:00,2017-01-22T02:32:00,Repair (Complex),,,,SolverC1,
1012,2017-01-22T02:32:00,2017-01-22T02:38:00,Test Repair,TRUE,,0,Tester6,
1012,2017-01-22T02:48:00,2017-01-22T02:48:00,Inform User,,,,System,
1013,2017-01-22T03:52:00,2017-01-22T03:52:00,Register,,,,System,
1013,2017-01-22T03:52:00,2017-01-22T03:58:00,Analyze Defect,,9,,Tester6,T3
1013,2017-01-22T04:24:00,2017-01-22T05:08:00,Repair (Complex),,,,SolverC3,
1013,2017-01-22T04:40:00,2017-01-22T04:40:00,Inform User,,,,System,
1013,2017-01-22T05:08:00,2017-01-22T05:18:00,Test Repair,TRUE,,0,Tester2,
1014,2017-01-23T03:31:00,2017-01-23T03:31:00,Register,,,,System,
1014,2017-01-23T03:31:00,2017-01-23T03:40:00,Analyze Defect,,3,,Tester4,T1
1014,2017-01-23T03:41:00,2017-01-23T03:55:00,Repair (Simple),,,,SolverS3,
1014,2017-01-23T03:55:00,2017-01-23T04:03:00,Test Repair,TRUE,,1,Tester6,
1014,2017-01-23T03:58:00,2017-01-23T03:58:00,Inform User,,,,System,
1015,2017-01-22T08:15:00,2017-01-22T08:15:00,Register,,,,System,
1015,2017-01-22T08:15:00,2017-01-22T08:24:00,Analyze Defect,,10,,Tester1,T1
1015,2017-01-22T08:37:00,2017-01-22T08:47:00,Repair (Complex),,,,SolverC1,
1015,2017-01-22T08:47:00,2017-01-22T08:54:00,Test Repair,TRUE,,0,Tester2,
1015,2017-01-22T08:55:00,2017-01-22T08:55:00,Inform User,,,,System,
1016,2017-01-23T01:32:00,2017-01-23T01:32:00,Register,,,,System,
1016,2017-01-23T01:32:00,2017-01-23T01:42:00,Analyze Defect,,5,,Tester4,T3
1016,2017-01-23T02:07:00,2017-01-23T02:22:00,Repair (Simple),,,,SolverS2,
1016,2017-01-23T02:21:00,2017-01-23T02:21:00,Inform User,,,,System,
1016,2017-01-23T02:22:00,2017-01-23T02:29:00,Test Repair,FALSE,,1,Tester4,
1016,2017-01-23T02:39:00,2017-01-23T02:39:00,Restart Repair,,,,System,
1016,2017-01-23T02:39:00,2017-01-23T02:46:00,Repair (Simple),,,,SolverS1,
1016,2017-01-23T02:46:00,2017-01-23T02:51:00,Test Repair,FALSE,,2,Tester6,
1016,2017-01-23T03:01:00,2017-01-23T03:01:00,Restart Repair,,,,System,
1016,2017-01-23T03:01:00,2017-01-23T03:14:00,Repair (Simple),,,,SolverS3,
1016,2017-01-23T03:14:00,2017-01-23T03:19:00,Test Repair,TRUE,,3,Tester3,
1017,2017-01-22T08:48:00,2017-01-22T08:48:00,Register,,,,System,
1017,2017-01-22T08:48:00,2017-01-22T08:58:00,Analyze Defect,,1,,Tester1,T3
1017,2017-01-22T09:28:00,2017-01-22T09:41:00,Repair (Simple),,,,SolverS2,
1017,2017-01-22T09:39:00,2017-01-22T09:39:00,Inform User,,,,System,
1017,2017-01-22T09:41:00,2017-01-22T09:50:00,Test Repair,TRUE,,1,Tester3,
1018,2017-01-23T01:16:00,2017-01-23T01:16:00,Register,,,,System,
1018,2017-01-23T01:16:00,2017-01-23T01:21:00,Analyze Defect,,10,,Tester1,T2
1018,2017-01-23T01:36:00,2017-01-23T01:36:00,Inform User,,,,System,
1018,2017-01-23T01:46:00,2017-01-23T02:04:00,Repair (Complex),,,,SolverC2,
1018,2017-01-23T02:04:00,2017-01-23T02:10:00,Test Repair,TRUE,,0,Tester1,
1019,2017-01-23T01:16:00,2017-01-23T01:16:00,Register,,,,System,
1019,2017-01-23T01:16:00,2017-01-23T01:22:00,Analyze Defect,,7,,Tester4,T2
1019,2017-01-23T01:23:00,2017-01-23T02:03:00,Repair (Complex),,,,SolverC3,
1019,2017-01-23T02:03:00,2017-01-23T02:12:00,Test Repair,TRUE,,0,Tester6,
1019,2017-01-23T02:08:00,2017-01-23T02:08:00,Inform User,,,,System,
102,2017-01-03T17:19:00,2017-01-03T17:19:00,Register,,,,System,
102,2017-01-03T17:19:00,2017-01-03T17:25:00,Analyze Defect,,9,,Tester1,T2
102,2017-01-03T17:50:00,2017-01-03T18:32:00,Repair (Complex),,,,SolverC3,
102,2017-01-03T18:12:00,2017-01-03T18:12:00,Inform User,,,,System,
102,2017-01-03T18:32:00,2017-01-03T18:41:00,Test Repair,TRUE,,0,Tester6,
102,2017-01-03T18:49:00,2017-01-03T18:49:00,Archive Repair,TRUE,,0,System,
1020,2017-01-21T23:47:00,2017-01-21T23:47:00,Register,,,,System,
1020,2017-01-21T23:47:00,2017-01-21T23:53:00,Analyze Defect,,10,,Tester2,T2
1020,2017-01-22T00:02:00,2017-01-22T00:46:00,Repair (Complex),,,,SolverC3,
1020,2017-01-22T00:21:00,2017-01-22T00:21:00,Inform User,,,,System,
1020,2017-01-22T00:46:00,2017-01-22T00:53:00,Test Repair,TRUE,,0,Tester5,
1021,2017-01-23T01:46:00,2017-01-23T01:46:00,Register,,,,System,
1021,2017-01-23T01:46:00,2017-01-23T01:55:00,Analyze Defect,,9,,Tester6,T1
1021,2017-01-23T02:20:00,2017-01-23T02:34:00,Repair (Complex),,,,SolverC2,
1021,2017-01-23T02:34:00,2017-01-23T02:42:00,Test Repair,TRUE,,0,Tester2,
1021,2017-01-23T02:38:00,2017-01-23T02:38:00,Inform User,,,,System,
1022,2017-01-23T01:21:00,2017-01-23T01:21:00,Register,,,,System,
1022,2017-01-23T01:21:00,2017-01-23T01:26:00,Analyze Defect,,2,,Tester5,T3
1022,2017-01-23T01:49:00,2017-01-23T02:07:00,Repair (Simple),,,,SolverS3,
1022,2017-01-23T01:50:00,2017-01-23T01:50:00,Inform User,,,,System,
1022,2017-01-23T02:07:00,2017-01-23T02:13:00,Test Repair,TRUE,,1,Tester2,
1023,2017-01-22T12:38:00,2017-01-22T12:38:00,Register,,,,System,
1023,2017-01-22T12:38:00,2017-01-22T12:47:00,Analyze Defect,,7,,Tester1,T3
1023,2017-01-22T12:58:00,2017-01-22T13:12:00,Repair (Complex),,,,SolverC1,
1023,2017-01-22T13:12:00,2017-01-22T13:18:00,Test Repair,TRUE,,0,Tester2,
1023,2017-01-22T13:28:00,2017-01-22T13:28:00,Inform User,,,,System,
1024,2017-01-23T05:32:00,2017-01-23T05:32:00,Register,,,,System,
1024,2017-01-23T05:32:00,2017-01-23T05:37:00,Analyze Defect,,5,,Tester5,T2
1024,2017-01-23T05:53:00,2017-01-23T06:00:00,Repair (Simple),,,,SolverS1,
1024,2017-01-23T06:00:00,2017-01-23T06:07:00,Test Repair,FALSE,,1,Tester5,
1024,2017-01-23T06:12:00,2017-01-23T06:12:00,Restart Repair,,,,System,
1024,2017-01-23T06:12:00,2017-01-23T06:22:00,Repair (Simple),,,,SolverS2,
1024,2017-01-23T06:18:00,2017-01-23T06:18:00,Inform User,,,,System,
1024,2017-01-23T06:22:00,2017-01-23T06:29:00,Test Repair,FALSE,,2,Tester1,
1024,2017-01-23T06:34:00,2017-01-23T06:34:00,Restart Repair,,,,System,
1024,2017-01-23T06:34:00,2017-01-23T06:48:00,Repair (Complex),,,,SolverC2,
1024,2017-01-23T06:48:00,2017-01-23T06:58:00,Test Repair,TRUE,,2,Tester4,
1025,2017-01-21T23:17:00,2017-01-21T23:17:00,Register,,,,System,
1025,2017-01-21T23:17:00,2017-01-21T23:26:00,Analyze Defect,,1,,Tester6,T1
1025,2017-01-21T23:40:00,2017-01-21T23:50:00,Repair (Simple),,,,SolverS2,
1025,2017-01-21T23:50:00,2017-01-21T23:57:00,Test Repair,TRUE,,1,Tester1,
1025,2017-01-22T00:13:00,2017-01-22T00:13:00,Inform User,,,,System,
1026,2017-01-22T05:24:00,2017-01-22T05:24:00,Register,,,,System,
1026,2017-01-22T05:24:00,2017-01-22T05:29:00,Analyze Defect,,9,,Tester3,T2
1026,2017-01-22T05:38:00,2017-01-22T06:18:00,Repair (Complex),,,,SolverC3,
1026,2017-01-22T06:10:00,2017-01-22T06:10:00,Inform User,,,,System,
1026,2017-01-22T06:18:00,2017-01-22T06:25:00,Test Repair,TRUE,,0,Tester3,
1027,2017-01-22T17:16:00,2017-01-22T17:16:00,Register,,,,System,
1027,2017-01-22T17:16:00,2017-01-22T17:24:00,Analyze Defect,,1,,Tester1,T3
1027,2017-01-22T17:37:00,2017-01-22T17:46:00,Repair (Simple),,,,SolverS2,
1027,2017-01-22T17:39:00,2017-01-22T17:39:00,Inform User,,,,System,
1027,2017-01-22T17:46:00,2017-01-22T17:54:00,Test Repair,TRUE,,1,Tester6,
1028,2017-01-22T10:18:00,2017-01-22T10:18:00,Register,,,,System,
1028,2017-01-22T10:18:00,2017-01-22T10:28:00,Analyze Defect,,6,,Tester6,T1
1028,2017-01-22T10:44:00,2017-01-22T10:44:00,Inform User,,,,System,
1028,2017-01-22T10:55:00,2017-01-22T11:06:00,Repair (Complex),,,,SolverC2,
1028,2017-01-22T11:06:00,2017-01-22T11:14:00,Test Repair,TRUE,,0,Tester4,
1029,2017-01-22T22:01:00,2017-01-22T22:01:00,Register,,,,System,
1029,2017-01-22T22:01:00,2017-01-22T22:08:00,Analyze Defect,,2,,Tester1,T1
1029,2017-01-22T22:26:00,2017-01-22T22:38:00,Repair (Simple),,,,SolverS3,
1029,2017-01-22T22:38:00,2017-01-22T22:47:00,Test Repair,TRUE,,1,Tester6,
1029,2017-01-22T22:57:00,2017-01-22T22:57:00,Inform User,,,,System,
103,2017-01-03T06:41:00,2017-01-03T06:41:00,Register,,,,System,
103,2017-01-03T06:41:00,2017-01-03T06:49:00,Analyze Defect,,10,,Tester2,T1
103,2017-01-03T07:15:00,2017-01-03T07:34:00,Repair (Complex),,,,SolverC2,
103,2017-01-03T07:34:00,2017-01-03T07:39:00,Test Repair,TRUE,,0,Tester3,
103,2017-01-03T07:37:00,2017-01-03T07:37:00,Inform User,,,,System,
103,2017-01-03T07:46:00,2017-01-03T07:46:00,Archive Repair,TRUE,,0,System,
1030,2017-01-22T11:06:00,2017-01-22T11:06:00,Register,,,,System,
1030,2017-01-22T11:06:00,2017-01-22T11:15:00,Analyze Defect,,2,,Tester6,T3
1030,2017-01-22T11:31:00,2017-01-22T11:31:00,Inform User,,,,System,
1030,2017-01-22T11:31:00,2017-01-22T11:44:00,Repair (Simple),,,,SolverS3,
1030,2017-01-22T11:44:00,2017-01-22T11:50:00,Test Repair,TRUE,,1,Tester1,
1031,2017-01-22T07:49:00,2017-01-22T07:49:00,Register,,,,System,
1031,2017-01-22T07:49:00,2017-01-22T07:55:00,Analyze Defect,,10,,Tester2,T1
1031,2017-01-22T08:21:00,2017-01-22T08:38:00,Repair (Complex),,,,SolverC2,
1031,2017-01-22T08:28:00,2017-01-22T08:28:00,Inform User,,,,System,
1031,2017-01-22T08:38:00,2017-01-22T08:45:00,Test Repair,TRUE,,0,Tester5,
1032,2017-01-22T17:57:00,2017-01-22T17:57:00,Register,,,,System,
1032,2017-01-22T17:57:00,2017-01-22T18:04:00,Analyze Defect,,2,,Tester1,T2
1032,2017-01-22T18:21:00,2017-01-22T18:21:00,Inform User,,,,System,
1032,2017-01-22T18:33:00,2017-01-22T18:43:00,Repair (Simple),,,,SolverS3,
1032,2017-01-22T18:43:00,2017-01-22T18:49:00,Test Repair,TRUE,,1,Tester6,
1033,2017-01-23T11:18:00,2017-01-23T11:18:00,Register,,,,System,
1033,2017-01-23T11:18:00,2017-01-23T11:25:00,Analyze Defect,,3,,Tester4,T3
